study_id,pgr,pgr_concentration,medium,explant,yield
13,tdz,0.1,ms,plb,3.7
13,tdz,0.5,ms,plb,5.77
13,tdz,1,ms,plb,7.5
13,tdz,1.5,ms,plb,11.6
13,tdz,2,ms,plb,14.7
13,tdz,2.5,ms,plb,12.8
13,tdz,3,ms,plb,6.9
13,tdz,3.5,ms,plb,6.2
250,tdz,0.22,kc,plb,9.11
250,tdz,0.44,kc,plb,-0.91
250,tdz,0.88,kc,plb,-1.96
250,tdz,1.76,kc,plb,1.84
250,tdz,3.52,kc,plb,7.21
263,tdz,1.1,ms,plb,3.8
263,tdz,2.2,ms,plb,5.8
263,tdz,3.3,ms,plb,5.3
263,tdz,4.41,ms,plb,3.2
282,tdz,0.1,ms,plb,0
282,tdz,1,ms,plb,-53
282,tdz,5,ms,plb,-48
282,tdz,10,ms,plb,-74
311,tdz,0.5,vw,plb,7.6
311,tdz,1,vw,plb,5.4
311,tdz,2,vw,plb,2.9
311,tdz,4,vw,plb,1.7
345,tdz,0.1,ms,plb,3.1
345,tdz,1,ms,plb,4.2
240,tdz,0.5,ms,plb,9.6
240,tdz,1,ms,plb,16.2
240,tdz,1.5,ms,plb,22.3
240,tdz,2,ms,plb,18.2
240,tdz,2.5,ms,plb,9.7
261,tdz,1,ms,plb,1
261,tdz,2,ms,plb,2.5
261,tdz,3,ms,plb,4.5
261,tdz,4,ms,plb,2.3
13,tdz,0.1,ms,shoot,2.6
13,tdz,0.5,ms,shoot,3.5
13,tdz,1,ms,shoot,4.6
13,tdz,1.5,ms,shoot,5.9
13,tdz,2,ms,shoot,3.9
13,tdz,2.5,ms,shoot,3.2
13,tdz,3,ms,shoot,0
13,tdz,3.5,ms,shoot,0
263,tdz,1.1,ms,shoot,3.8
263,tdz,2.2,ms,shoot,5.8
263,tdz,3.3,ms,shoot,5.3
263,tdz,4.41,ms,shoot,3.2
323,tdz,0.22,ms,shoot,3.1
323,tdz,0.44,ms,shoot,7.2
323,tdz,0.88,ms,shoot,4
323,tdz,1.76,ms,shoot,3.6
256,tdz,1,ms,shoot,1
256,tdz,2,ms,shoot,1
256,tdz,3,ms,shoot,1
256,tdz,4,ms,shoot,1
330,tdz,0.66,ms,shoot,2
330,tdz,1.32,ms,shoot,2
330,tdz,1.98,ms,shoot,1
406,kn,0.2,ms,plb,0.79
406,kn,0.5,ms,plb,1.4
406,kn,1,ms,plb,2.75
406,kn,2,ms,plb,1.17
406,kn,3,ms,plb,1.72
406,kn,5,ms,plb,1.26
284,kn,0.5,ms,plb,0
284,kn,1,ms,plb,20.6
284,kn,2,ms,plb,16.4
284,kn,5,ms,plb,2.1
335,kn,1.08,ms,plb,1.8
335,kn,2.15,ms,plb,2.2
335,kn,3.23,ms,plb,2.93
335,kn,4.3,ms,plb,1.26
410,kn,0.99,ms,plb,9.9
410,kn,0.99,ms,plb,7.2
410,kn,2.47,ms,plb,19.4
410,kn,2.47,ms,plb,10.9
410,kn,4.95,ms,plb,13.2
410,kn,4.95,ms,plb,15.1
410,kn,9.9,ms,plb,5.6
410,kn,9.9,ms,plb,8.8
240,kn,0.4,ms,plb,0.4
240,kn,2.5,ms,plb,2.5
240,kn,1.4,ms,plb,1.4
240,kn,0.1,ms,plb,0.1
240,kn,0.3,ms,plb,0.3
240,bap,0.5,ms,plb,11.3
240,bap,1,ms,plb,12.3
240,bap,1.5,ms,plb,14
240,bap,2,ms,plb,6.3
240,bap,2.5,ms,plb,5.9
250,bap,0.23,kc,plb,3.84
250,bap,0.45,kc,plb,-5.87
250,bap,0.9,kc,plb,-3.35
250,bap,1.8,kc,plb,6.5
250,bap,3.6,kc,plb,7.9
261,bap,1,ms,plb,1.1
261,bap,2,ms,plb,1.4
261,bap,3,ms,plb,1.1
261,bap,4,ms,plb,1.1
282,bap,5,ms,plb,-6
282,bap,10,ms,plb,-52
284,bap,0.5,ms,plb,0
284,bap,1,ms,plb,4.6
284,bap,2,ms,plb,18.2
284,bap,5,ms,plb,8.3
311,bap,0.5,vw,plb,22.1
311,bap,1,vw,plb,16.8
311,bap,2,vw,plb,15.1
311,bap,4,vw,plb,7.6
319,bap,0.1,ms,plb,6.36
319,bap,0.25,ms,plb,1.71
319,bap,0.5,ms,plb,4.16
319,bap,0.99,ms,plb,0.38
319,bap,2,ms,plb,2.16
335,bap,1.13,kc,plb,3.95
335,bap,2.25,kc,plb,6.4
335,bap,3.38,kc,plb,3.46
335,bap,4.5,kc,plb,2.66
345,bap,1,ms,plb,11.4
345,bap,5,ms,plb,7.4
410,bap,1,ms,plb,7.4
410,bap,2.48,ms,plb,13.2
410,bap,4.96,ms,plb,26.1
410,bap,9.91,ms,plb,12.5
410,bap,1,ms,plb,16
410,bap,2.48,ms,plb,33.1
410,bap,4.96,ms,plb,20.3
410,bap,9.91,ms,plb,18.1
7,bap,1,ms,shoot,0.93
7,bap,2,ms,shoot,1.08
7,bap,3,ms,shoot,1.75
256,bap,1,ms,shoot,0.8
256,bap,2,ms,shoot,0.9
256,bap,3,ms,shoot,0.7
256,bap,4,ms,shoot,0.8
263,bap,1.13,ms,shoot,2
263,bap,2.25,ms,shoot,3.3
263,bap,3.38,ms,shoot,4.2
263,bap,4.5,ms,shoot,3.6
323,bap,0.23,ms,shoot,0
323,bap,0.45,ms,shoot,0
323,bap,0.9,ms,shoot,1.8
323,bap,1.8,ms,shoot,2.9
330,bap,0.68,ms,shoot,12
330,bap,1.35,ms,shoot,8
330,bap,2.03,ms,shoot,7
335,bap,1.13,kc,shoot,2
335,bap,2.25,kc,shoot,4
335,bap,3.38,kc,shoot,5.06
335,bap,4.5,kc,shoot,4.53
341,bap,0.5,ms,shoot,0.2
341,bap,1,ms,shoot,2
341,bap,1.5,ms,shoot,1.3
341,bap,2,ms,shoot,1.1
341,bap,3,ms,shoot,0.9
411,bap,0.5,ms,shoot,0.75
411,bap,1,ms,shoot,0.95
411,bap,2,ms,shoot,1.85
411,bap,4,ms,shoot,3.45
408,kn,1,kc,shoot,10.6
341,kn,0.5,ms,shoot,1.2
341,kn,1,ms,shoot,2.3
341,kn,1.5,ms,shoot,3.3
341,kn,2,ms,shoot,2.6
341,kn,3,ms,shoot,1.7
256,kn,1,ms,shoot,1
256,kn,2,ms,shoot,1
256,kn,3,ms,shoot,1
256,kn,4,ms,shoot,1
261,kn,1,ms,shoot,1.1
261,kn,2,ms,shoot,3.3
261,kn,3,ms,shoot,1.7
261,kn,4,ms,shoot,1.4
261,kn,5,ms,shoot,1.4
330,kn,0.65,ms,shoot,3
330,kn,1.3,ms,shoot,3
330,kn,1.94,ms,shoot,3
